aktínium	aktínia		aktíniá	aktínií
alumínium	alumínia		alumíniá	alumínií
amerícium	amerícia		ameríciá	amerícií
antimón	antimónu		antimóny	antimónov
argón	argónu		argóny	argónov
arzén	arzénu		arzény	arzénov
astát	astátu		astáty	astátov
bárium	bária		báriá	bárií
berkélium	berkélia		berkéliá	berkélií
berýlium	berýlia		berýliá	berýlií
bizmut	bizmutu		bizmuty	bizmutov
bór	bóru	bóre	bóry	bórov
bohrium	bohria		bohriá	bohrií
bróm	brómu		brómy	brómov
cér	céra/céru	céri/cére	céry	cérov
cérium	céria		cériá	cérií
cézium	cézia		céziá	cézií
cín	cínu		cíny	cínov
curium	curia		curiá	curií
darmštátium	darmštátia		darmštátiá	darmštátií
draslík	draslíka		draslíky	draslíkov
dubnium	dubnia		dubniá	dubnií
dusík	dusíka		dusíky	dusíkov
dysprózium	dysprózia		dyspróziá	dysprózií
einsteinium	einsteinia		einsteiniá	einsteinií
erbium	erbia		erbiá	erbií
európium	európia		európiá	európií
fermium	fermia		fermiá	fermií
fleróvium	fleróvia		fleróviá	fleróvií
fluór	fluóru	fluóre	fluóry	fluórov
fosfor	fosforu	fosfore	fosfory	fosforov
francium	francia		franciá	francií
gadolínium	gadolínia		gadolíniá	gadolínií
gálium	gália		gáliá	gálií
germánium	germánia		germániá	germánií
hafnium	hafnia		hafniá	hafnií
hásium	hásia		hásiá	hásií
hélium	hélia		héliá	hélií
hliník	hliníka		hliníky	hliníkov
holmium	holmia		holmiá	holmií
horčík	horčíka		horčíky	horčíkov
hydrogén	hydrogénu		hydrogény	hydrogénov
chlór	chlóru	chlóre	chlóry	chlórov
chróm	chrómu		chrómy	chrómov
indium	india		indiá	indií
irídium	irídia		irídiá	irídií
jód	jódu		jódy	jódov
kadmium	kadmia		kadmiá	kadmií
kalcium	kalcia		kalciá	kalcií
kalifornium	kalifornia		kaliforniá	kalifornií
kobalt	kobaltu		kobalty	kobaltov
kopernícium	kopernícia		koperníciá	kopernícií
kremík	kremíka		kremíky	kremíkov
kryptón	kryptónu		kryptóny	kryptónov
kyslík	kyslíka		kyslíky	kyslíkov
lantán	lantánu		lantány	lantánov
lawrencium	lawrencia		lawrenciá	lawrencií
lítium	lítia		lítiá	lítií
livermórium	livermória		livermóriá	livermórií
lutécium	lutécia		lutéciá	lutécií
magnézium	magnézia		magnéziá	magnézií
mangán	mangánu		mangány	mangánov
meď	medi		medi	medí
meitnérium	meitnéria		meitnériá	meitnérií
mendelevium	mendelevia		mendeleviá	mendelevií
mendelévium	mendelévia		mendeléviá	mendelévií
molybdén	molybdénu		molybdény	molybdénov
moskóvium	moskóvia		moskóviá	moskóvií
nátrium	nátria		nátriá	nátrií
neodým	neodýmu		neodýmy	neodýmov
neón	neónu		neóny	neónov
neptúnium	neptúnia		neptúniá	neptúnií
nihónium	nihónia		nihóniá	nihónií
nikel	niklu	nikli	nikle	niklov
niób	nióbu		nióby	nióbov
nitrogén	nitrogénu		nitrogény	nitrogénov
nobélium	nobélia		nobéliá	nobélií
oganesón	oganesónu		oganesóny	oganesónov
olovo	olova		olová	olov
ortuť	ortuti		ortute	ortutí
osmium	osmia		osmiá	osmií
oxygén	oxygénu		oxygény	oxygénov
paládium	paládia		paládiá	paládií
platina	platiny		platiny	platín
plumbum	plumba	plumbe	plumbá	plúmb
plutónium	plutónia		plutóniá	plutónií
polónium	polónia		polóniá	polónií
prazeodým	prazeodýmu		prazeodýmy	prazeodýmov
prométium	prométia		prométiá	prométií
protaktínium	protaktínia		protaktíniá	protaktínií
rádium	rádia		rádiá	rádií
radón	radónu		radóny	radónov
rénium	rénia		réniá	rénií
ródium	ródia		ródiá	ródií
röntgénium	röntgénia		röntgéniá	röntgénií
rubídium	rubídia		rubídiá	rubídií
ruténium	ruténia		ruténiá	ruténií
rutherfordium	rutherfordia		rutherfordiá	rutherfordií
samárium	samária		samáriá	samárií
seaborgium	seaborgia		seaborgiá	seaborgií
selén	selénu		selény	selénov
síra	síry		síry	sír
skandium	skandia		skandiá	skandií
sodík	sodíka		sodíky	sodíkov
striebro	striebra		striebra	striebier
stroncium	stroncia		stronciá	stroncií
tálium	tália		táliá	tálií
tantal	tantalu	tantale	tantaly	tantalov
technécium	technécia		technéciá	technécií
telúr	telúru	telúre	telúry	telúrov
tenés	tenésu		tenésy	tenésov
terbium	terbia		terbiá	terbií
titán	titánu		titány	titánov
tórium	tória		tóriá	tórií
túlium	túlia		túliá	túlií
uhlík	uhlíka		uhlíky	uhlíkov
urán	uránu		urány	uránov
vanád	vanádu		vanády	vanádov
vanádium	vanádia		vanádiá	vanádií
vápnik	vápnika		vápniky	vápnikov
vodík	vodíka		vodíky	vodíkov
volfrám	volfrámu		volfrámy	volfrámov
xenón	xenónu		xenóny	xenónov
yterbium	yterbia		yterbiá	yterbií
ytrium	ytria		ytriá	ytrií
zinok	zinku		zinky	zinkov
zirkónium	zirkónia		zirkóniá	zirkónií
zlato	zlata		zlatá	zlát
železo	železa		železá	želiez
