bojí	boja	boj	bál	bojac	bojaci			bátie
bije	bijú	bi	bil	bijúc	bijúci		bitý	bitie
je, jest, jesto               niet, nieto	sú	buď	bol	súc				bytie
čuje	čujú	čuj	čul	čujúc	čujúci		čutý	čutie
dá	dajú	daj	dal	dajúc		davší	daný	danie
duje	dujú	duj	dul	dujúc	dujúci			dutie
ide         nejde	idú        nejdú	iď/poď/choď nejdi/nechoď	išiel/šiel   nešiel	idúc            nejdúc	idúci            nejdúci			
			jal			javší	jatý	jatie
kuje	kujú	kuj	kul	kujúc	kujúci		kutý	kutie
má	majú	maj	mal	majúc	majúci			
pije	pijú	pi	pil	pijúc	pijúci		pitý	pitie
ruje	rujú	ruj	rul	rujúc	rujúci			rutie
ryje	ryjú	ry	ryl	ryjúc	ryjúci		rytý	rytie
saje	sajú	saj	sal	sajúc	sajúci		satý/saný	satie/sanie
šije	šijú	ši	šil	šijúc	šijúci		šitý	šitie
tne	tnú	tni	ťal	tnúc	tnúci		ťatý	ťatie
vije	vijú	vi	vil	vijúc	vijúci		vitý	vitie
vyje	vyjú	vy	vyl	vyjúc	vyjúci			vytie
žne	žnú	žni	žal	žnúc	žnúci		žatý	žatie
žije	žijú	ži	žil	žijúc	žijúci		žitý	žitie
žuje	žujú	žuj	žul	žujúc	žujúci		žutý	žutie
berie	berú	ber	bral	berúc	berúci		braný/bratý	branie/bratie
ctí	ctia	cti	ctil	ctiac	ctiaci		ctený	ctenie
čká	čkajú	čkaj	čkal	čkajúc	čkajúci			čkanie
dbá	dbajú	dbaj	dbal	dbajúc	dbajúci			dbanie
deje	dejú	dej	dial	dejúc	dejúci			dianie
dme	dmú	dmi	dmul	dmúc	dmúci			dmutie
derie	derú	der	dral	derúc	derúci		draný/dratý	dranie/dratie
ženie	ženú	žeň	hnal	ženúc	ženúci		hnaný	hnanie
hnije	hnijú	hni	hnil	hnijúc	hnijúci			hnitie
hne	hnú	hni	hnul     nehnul/nehol	hnúc		hnuvší	hnutý	hnutie
hrá	hrajú	hraj	hral	hrajúc	hrajúci		hratý/hraný	hratie/hranie
hudie	hudú	huď	húdol	hudúc	hudúci		hudený	húdenie
je	jedia	jedz	jedol	jediac	jediaci		jedený	jedenie
kole	kolú	koľ	klal	kolúc	kolúci		klaný	klanie
kľuje	kľujú	kľuj	kľul	kľujúc	kľujúci		kľutý	kľutie
kryje	kryjú	kry	kryl	kryjúc	kryjúci		krytý	krytie
leje	lejú	lej	lial	lejúc	lejúci		liaty	liatie
lká	lkajú	lkaj	lkal	lkajúc	lkajúci			lkanie
môže	môžu		mohol	môžuc	môžuci			
obije	obijú	obi	obil	obijúc		obivší	obitý	obitie
obuje	obujú	obuj	obul	obujúc		obuvší	obutý	obutie
očí	očia	oč	očil	očiac	očiaci			očenie
oduje	odujú	oduj	odul	odujúc		oduvší	odutý	odutie
okuje	okujú	okuj	okul	okujúc		okuvší	okutý	okutie
omyje	omyjú	omy	omyl	omyjúc		omyvší	omytý	omytie
opije	opijú	opi	opil	opijúc		opivší	opitý	opitie
orie	orú	or	oral	orúc	orúci		oraný	oranie
ovije	ovijú	ovi	ovil	ovijúc		ovivší	ovitý	ovitie
ožije	ožijú	oži	ožil	ožijúc		oživší	ožitý	ožitie
ožuje	ožujú	ožuj	ožul	ožujúc		ožuvší	ožutý	ožutie
pasie	pasú	pas	pásol	pasúc	pasúci		pasený	pasenie
pľuje	pľujú	pľuj	pľul	pľujúc	pľujúci		pľutý	pľutie
pnie	pnú	pni	pnul	pnúc	pnúci			pnutie
perie	perú	per	pral	perúc	perúci		praný/pratý	pranie/pratie
psuje	psujú	psuj	psul	psujúc	psujúci		psutý	psutie
rastie	rastú	rasť/rasti	rástol	rastúc	rastúci			rastenie
seje	sejú	sej	sial	sejúc	sejúci		siaty	siatie
skuje	skujú	skuj	skul	skujúc		skuvší	skutý	skutie
sníme	snímu	sním	sňal	snímuc		sňavší	sňatý	sňatie
sní	snia	sni	snil	sniac	sniaci			snenie
snuje	snujú	snuj	snul	snujúc	snujúci		snutý	snutie
spí	spia	spi	spal	spiac	spiaci			spanie/spatie
spije	spijú	spi	spil	spijúc		spivší	spitý	spitie
serie	serú	ser	sral	serúc	serúci		sraný	sranie/sratie
stane	stanú	staň	stal	stanúc		stavší		stanie
stojí	stoja	stoj	stál	stojac	stojaci			státie
stne	stnú	stni	sťal	stnúc		sťavší	sťatý	sťatie
ští	štia	šti	šťal	štiac	štiaci			šťanie
tká	tkajú	tkaj	tkal	tkajúc	tkajúci		tkaný	tkanie
tlčie	tlčú	tlč	tĺkol	tlčúc	tlčúci		tlčený	tlčenie
tmí			tmilo					tmenie
